"Total sales","Ventes totales"
"{count} total sales","{count} ventes au total"
"Daily sales","Ventes quotidiennes"
"{count} daily sales","{count} ventes quotidiennes"
"Weekly sales","Ventes hebdomadaires"
"{count} weekly sales","{count} ventes hebdomadaires"
"Total views","Vues totales"
"{count} total views","{count} vues au total"
"Daily views","Vues quotidiennes"
"{count} daily views","{count} vues quotidiennes"
"Weekly views","Vues hebdomadaires"
"{count} weekly views","{count} vues hebdomadaires"
